Document Type,Authors,Title,Source,Year,Link,Abstract,Keywords
Review,"Li, Sicong; Zhao, Ruiwei; Zou, Haidong",Artificial intelligence for diabetic retinopathy,chinese medical journal,2022,Not found,"Diabetic retinopathy (DR) is an important cause of blindness globally, and its prevalence is increasing. Early detection and intervention can help change the outcomes of the disease. The rapid development of artificial intelligence (AI) in recent years has led to new possibilities for the screening and diagnosis of DR. An AI-based diagnostic system for the detection of DR has significant advantages, such as high efficiency, high accuracy, and lower demand for human resources. At the same time, there are shortcomings, such as the lack of standards for development and evaluation and the limited scope of application. This article demonstrates the current applications of AI in the field of DR, existing problems, and possible future development directions.",artificial intelligence; deep learning; diabetic retinopathy
Review,"Huang, Xuan; Wang, Hui; She, Chongyang; Feng, Jing; Liu, Xuhui; Hu, Xiaofeng; Chen, Li; Tao, Yong",Artificial intelligence promotes the diagnosis and screening of diabetic retinopathy,frontiers in endocrinology,2022,Not found,"Deep learning evolves into a new form of machine learning technology that is classified under artificial intelligence (AI), which has substantial potential for large-scale healthcare screening and may allow the determination of the most appropriate specific treatment for individual patients. Recent developments in diagnostic technologies facilitated studies on retinal conditions and ocular disease in metabolism and endocrinology. Globally, diabetic retinopathy (DR) is regarded as a major cause of vision loss. Deep learning systems are effective and accurate in the detection of DR from digital fundus photographs or optical coherence tomography. Thus, using AI techniques, systems with high accuracy and efficiency can be developed for diagnosing and screening DR at an early stage and without the resources that are only accessible in special clinics. Deep learning enables early diagnosis with high specificity and sensitivity, which makes decisions based on minimally handcrafted features paving the way for personalized DR progression real-time monitoring and in-time ophthalmic or endocrine therapies. This review will discuss cutting-edge AI algorithms, the automated detecting systems of DR stage grading and feature segmentation, the prediction of DR outcomes and therapeutics, and the ophthalmic indications of other systemic diseases revealed by AI.",diabetic retinopathy; artificial intelligence; classification; segmentation; diagnosis; screening; prediction
Review,"Bidwai, Pooja; Gite, Shilpa; Pahuja, Kishore; Kotecha, Ketan",A Systematic Literature Review on Diabetic Retinopathy Using an Artificial Intelligence Approach,big data and cognitive computing,2022,Not found,"Diabetic retinopathy occurs due to long-term diabetes with changing blood glucose levels and has become the most common cause of vision loss worldwide. It has become a severe problem among the working-age group that needs to be solved early to avoid vision loss in the future. Artificial intelligence-based technologies have been utilized to detect and grade diabetic retinopathy at the initial level. Early detection allows for proper treatment and, as a result, eyesight complications can be avoided. The in-depth analysis now details the various methods for diagnosing diabetic retinopathy using blood vessels, microaneurysms, exudates, macula, optic discs, and hemorrhages. In most trials, fundus images of the retina are used, which are taken using a fundus camera. This survey discusses the basics of diabetes, its prevalence, complications, and artificial intelligence approaches to deal with the early detection and classification of diabetic retinopathy. The research also discusses artificial intelligence-based techniques such as machine learning and deep learning. New research fields such as transfer learning using generative adversarial networks, domain adaptation, multitask learning, and explainable artificial intelligence in diabetic retinopathy are also considered. A list of existing datasets, screening systems, performance measurements, biomarkers in diabetic retinopathy, potential issues, and challenges faced in ophthalmology, followed by the future scope conclusion, is discussed. To the author, no other literature has analyzed recent state-of-the-art techniques considering the PRISMA approach and artificial intelligence as the core.",artificial intelligence; diabetic retinopathy; domain adaptation; explainable ai; fundus; optical coherence tomography (oct)
Article,"Quellec, Gwenole; Al Hajj, Hassan; Lamard, Mathieu; Conze, Pierre-Henri; Massin, Pascale; Cochener, Beatrice",ExplAIn: Explanatory artificial intelligence for diabetic retinopathy diagnosis,medical image analysis,2021,Not found,"In recent years, Artificial Intelligence (AI) has proven its relevance for medical decision support. However, the black-box nature of successful AI algorithms still holds back their wide-spread deployment. In this paper, we describe an eXplanatory Artificial Intelligence (XAI) that reaches the same level of performance as black-box AI, for the task of classifying Diabetic Retinopathy (DR) severity using Color Fundus Photography (CFP). This algorithm, called ExplAIn, learns to segment and categorize lesions in images; the final image-level classification directly derives from these multivariate lesion segmentations. The novelty of this explanatory framework is that it is trained from end to end, with image supervision only, just like black-box AI algorithms: the concepts of lesions and lesion categories emerge by themselves. For improved lesion localization, foreground/background separation is trained through self-supervision, in such a way that occluding foreground pixels transforms the input image into a healthy-looking image. The advantage of such an architecture is that automatic diagnoses can be explained simply by an image and/or a few sentences. ExplAIn is evaluated at the image level and at the pixel level on various CFP image datasets. We expect this new framework, which jointly offers high classification performance and explainability, to facilitate AI deployment. (c) 2021 Elsevier B.V. All rights reserved.",explanatory artificial intelligence; self-supervised learning; diabetic retinopathy diagnosis
Proceedings Paper,"Rodriguez-Leon, Ciro; Arevalo, William; Banos, Oresti; Villalonga, Claudia",Deep Learning for Diabetic Retinopathy Prediction,"advances in computational intelligence, iwann 2021, pt i",2021,Not found,"Diabetic retinopathy is a complication of diabetes mellitus. Its early diagnosis can prevent its progression and avoid the development of other major complications such as blindness. Deep learning and transfer learning appear in this context as powerful tools to aid in diagnosing this condition. The present work proposes to experiment with different models of pre-trained convolutional neural networks to determine which one fits best the problem of predicting diabetic retinopathy. The Diabetic Retinopathy Detection dataset supported by the EyePACS competition is used for evaluation. Seven pre-trained CNN models implemented in the Keras library developed in Python and, in this case, executed in the Kaggle platform, are used. Results show that no architecture performs better in all evaluation metrics. From a balanced behaviour perspective, the MobileNetV2 model stands out, with execution times almost half that of the slowest CNNs and without falling into overfitting with 20 learning epochs. InceptionResNetV2 stands out from the perspective of best performance, with a Kappa coefficient of 0.7588.",diabetic retinopathy; deep learning; transfer learning
Article,"Saini, Manisha; Susan, Seba",Diabetic retinopathy screening using deep learning for multi-class imbalanced datasets,computers in biology and medicine,2022,Not found,"Screening and diagnosis of diabetic retinopathy disease is a well known problem in the biomedical domain. The use of medical imagery from a patient's eye for detecting the damage caused to blood vessels is a part of the computer-aided diagnosis that has immensely progressed over the past few years due to the advent and success of deep learning. The challenges related to imbalanced datasets, inconsistent annotations, less number of sample images and inappropriate performance evaluation metrics has caused an adverse impact on the performance of the deep learning models. In order to tackle the effect caused by class imbalance, we have done extensive comparative analysis between various state-of-the-art methods on three benchmark datasets of diabetic retinopathy: -Kaggle DR detection, IDRiD and DDR, for classification, object detection and segmentation tasks. This research could serve as a concrete baseline for future research in this field to find appropriate approaches and deep learning architectures for imbalanced datasets.",diabetic retinopathy; deep learning; image classification; object detection; segmentation; transfer learning
Article,"Atwany, Mohammad Z.; Sahyoun, Abdulwahab H.; Yaqub, Mohammad",Deep Learning Techniques for Diabetic Retinopathy Classification: A Survey,ieee access,2022,Not found,"Diabetic Retinopathy (DR) is a degenerative disease that impacts the eyes and is a consequence of Diabetes mellitus, where high blood glucose levels induce lesions on the eye retina. Diabetic Retinopathy is regarded as the leading cause of blindness for diabetic patients, especially the working-age population in developing nations. Treatment involves sustaining the patient's current grade of vision since the disease is irreversible. Early detection of Diabetic Retinopathy is crucial in order to sustain the patient's vision effectively. The main issue involved with DR detection is that the manual diagnosis process is very time, money, and effort consuming and involves an ophthalmologist's examination of eye retinal fundus images. The latter also proves to be more difficult, particularly in the early stages of the disease when disease features are less prominent in the images. Machine learning-based medical image analysis has proven competency in assessing retinal fundus images, and the utilization of deep learning algorithms has aided the early diagnosis of Diabetic Retinopathy (DR). This paper reviews and analyzes state-of-the-art deep learning methods in supervised, self-supervised, and Vision Transformer setups, proposing retinal fundus image classification and detection. For instance, referable, non-referable, and proliferative classifications of Diabetic Retinopathy are reviewed and summarized. Moreover, the paper discusses the available retinal fundus datasets for Diabetic Retinopathy that are used for tasks such as detection, classification, and segmentation. The paper also assesses research gaps in the area of DR detection/classification and addresses various challenges that need further study and investigation.",diabetes; retina; retinopathy; lesions; deep learning; diseases; biomedical imaging; diabetic retinopathy; diabetes mellitus; diabetic macular edema; lesion; microaneurysms; haemorrhages; exudates; classification; supervised learning; self-supervised learning; transformers
Article,"Hassan, Doaa; Gill, Hunter Mathias; Happe, Michael; Bhatwadekar, Ashay D.; Hajrasouliha, Amir R.; Janga, Sarath Chandra",Combining transfer learning with retinal lesion features for accurate detection of diabetic retinopathy,frontiers in medicine,2022,Not found,"Diabetic retinopathy (DR) is a late microvascular complication of Diabetes Mellitus (DM) that could lead to permanent blindness in patients, without early detection. Although adequate management of DM via regular eye examination can preserve vision in in 98% of the DR cases, DR screening and diagnoses based on clinical lesion features devised by expert clinicians; are costly, time-consuming and not sufficiently accurate. This raises the requirements for Artificial Intelligent (AI) systems which can accurately detect DR automatically and thus preventing DR before affecting vision. Hence, such systems can help clinician experts in certain cases and aid ophthalmologists in rapid diagnoses. To address such requirements, several approaches have been proposed in the literature that use Machine Learning (ML) and Deep Learning (DL) techniques to develop such systems. However, these approaches ignore the highly valuable clinical lesion features that could contribute significantly to the accurate detection of DR. Therefore, in this study we introduce a framework called DR-detector that employs the Extreme Gradient Boosting (XGBoost) ML model trained via the combination of the features extracted by the pretrained convolutional neural networks commonly known as transfer learning (TL) models and the clinical retinal lesion features for accurate detection of DR. The retinal lesion features are extracted via image segmentation technique using the UNET DL model and captures exudates (EXs), microaneurysms (MAs), and hemorrhages (HEMs) that are relevant lesions for DR detection. The feature combination approach implemented in DR-detector has been applied to two common TL models in the literature namely VGG-16 and ResNet-50. We trained the DR-detector model using a training dataset comprising of 1,840 color fundus images collected from e-ophtha, retinal lesions and APTOS 2019 Kaggle datasets of which 920 images are healthy. To validate the DR-detector model, we test the model on external dataset that consists of 81 healthy images collected from High-Resolution Fundus (HRF) dataset and MESSIDOR-2 datasets and 81 images with DR signs collected from Indian Diabetic Retinopathy Image Dataset (IDRID) dataset annotated for DR by expert. The experimental results show that the DR-detector model achieves a testing accuracy of 100% in detecting DR after training it with the combination of ResNet-50 and lesion features and 99.38% accuracy after training it with the combination of VGG-16 and lesion features. More importantly, the results also show a higher contribution of specific lesion features toward the performance of the DR-detector model. For instance, using only the hemorrhages feature to train the model, our model achieves an accuracy of 99.38 in detecting DR, which is higher than the accuracy when training the model with the combination of all lesion features (89%) and equal to the accuracy when training the model with the combination of all lesions and VGG-16 features together. This highlights the possibility of using only the clinical features, such as lesions that are clinically interpretable, to build the next generation of robust artificial intelligence (AI) systems with great clinical interpretability for DR detection. The code of the DR-detector framework is available on GitHub at and can be readily employed for detecting DR from retinal image datasets.",retinal image; diabetic retinopathy; deep learning; transfer learning; lesion features
Review,"Cheung, Carol Y.; Tang, Fangyao; Ting, Daniel Shu Wei; Tan, Gavin Siew Wei; Wong, Tien Yin",Artificial Intelligence in Diabetic Eye Disease Screening,asia-pacific journal of ophthalmology,2019,Not found,"Systematic or national screening programs for diabetic retinopathy (DR) and diabetic macular edema (DME), using digital fundus photography and optical coherence tomography (OCT), are currently implemented at primary care level, aiming to provide timely referral for vision-threatening DR and DME to ophthalmologists for timely treatment and vision loss prevention. However, interpretation of retinal images requires specialized knowledge and expertise in diabetic eye disease. Furthermore, current DR screening programs are capital- and labor-intensive, which makes it difficult to rapidly scale up and expand diabetic eye screening to meet the needs of this growing global epidemic. Deep learning (DL), a new branch of machine learning technology under the broad term of artificial intelligence (AI), has made remarkable breakthrough in medical imaging in particular for pattern recognition and image classification. In ophthalmology, AI and DL technology has been developed from big image datasets in assessment of retinal photographs for detection and screening of DR as well as the segmentation and assessment of OCT images for diagnosis and screening of DME. This review aimed to summarize the current progress and the development of using AI and DL technology for diabetic eye disease screening as well as current challenges in the actual implementation of DL in screening programs, and translating DL research into direct clinical applications of screening in a community setting.",artificial intelligence; deep learning; diabetic retinopathy; optical coherence tomography; screening
Review,"Das, Dolly; Biswas, Saroj Kr; Bandyopadhyay, Sivaji",A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,multimedia tools and applications,2022,Not found,"Diabetic Retinopathy (DR) is a health condition caused due to Diabetes Mellitus (DM). It causes vision problems and blindness due to disfigurement of human retina. According to statistics, 80% of diabetes patients battling from long diabetic period of 15 to 20 years, suffer from DR. Hence, it has become a dangerous threat to the health and life of people. To overcome DR, manual diagnosis of the disease is feasible but overwhelming and cumbersome at the same time and hence requires a revolutionary method. Thus, such a health condition necessitates primary recognition and diagnosis to prevent DR from developing into severe stages and prevent blindness. Innumerable Machine Learning (ML) models are proposed by researchers across the globe, to achieve this purpose. Various feature extraction techniques are proposed for extraction of DR features for early detection. However, traditional ML models have shown either meagre generalization throughout feature extraction and classification for deploying smaller datasets or consumes more of training time causing inefficiency in prediction while using larger datasets. Hence Deep Learning (DL), a new domain of ML, is introduced. DL models can handle a smaller dataset with help of efficient data processing techniques. However, they generally incorporate larger datasets for their deep architectures to enhance performance in feature extraction and image classification. This paper gives a detailed review on DR, its features, causes, ML models, state-of-the-art DL models, challenges, comparisons and future directions, for early detection of DR.",diabetic retinopathy; image processing; machine learning; retinal lesions; feature extraction; deep learning
