Document Type,Authors,Title,Source,Year,Link,Abstract,Keywords
Article,"Nawaz F., Ramzan M., Mehmood K., Khan H.U., Khan S.H., Bhutta M.R.",Early detection of diabetic retinopathy using machine intelligence through deep transfer and representational learning,"Computers, Materials and Continua",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097200933&doi=10.32604%2fcmc.2020.012887&partnerID=40&md5=28ed27a998be132ff3982660760e1df5,"Diabetic retinopathy (DR) is a retinal disease that causes irreversible blindness. DR occurs due to the high blood sugar level of the patient, and it is clumsy to be detected at an early stage as no early symptoms appear at the initial level. To prevent blindness, early detection and regular treatment are needed. Automated detection based on machine intelligence may assist the ophthalmologist in examining the patients' condition more accurately and efficiently. The purpose of this study is to produce an automated screening system for recognition and grading of diabetic retinopathy using machine learning through deep transfer and representational learning. The artificial intelligence technique used is transfer learning on the deep neural network, Inception-v4. Two configuration variants of transfer learning are applied on Inception-v4: Fine-tune mode and fixed feature extractor mode. Both configuration modes have achieved decent accuracy values, but the fine-tuning method outperforms the fixed feature extractor configuration mode. Fine-tune configuration mode has gained 96.6% accuracy in early detection of DR and 97.7% accuracy in grading the disease and has outperformed the state of the art methods in the relevant literature. © 2021 Tech Science Press. All rights reserved.",Artificial intelligence; Automated screening system; Deep neural network; Diabetic retinopathy; Machine learning; Transfer and representational learning
Article,"Aladawi W., Jayakumari C., Sumesh E.P., Vidhyalavanya",Recent innovations in automated detection and classification of diabetic retinopathy,International Journal of Innovative Technology and Exploring Engineering,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071277303&doi=10.35940%2fijitee.J9306.0881019&partnerID=40&md5=dce58d91544e8edb284ed11b9c1e178e,"Due to the increasing prevalence of diabetic retinopathy worldwide, it’s an urgent need to develop smart system that help to detect disease using one of the modern technologies. Artificial intelligence is one of the popular techniques nowadays which has the ability to learn from experience and carry out human-like tasks. Large number of researches have been conducted to find out effective medical diagnosis methods for numerous diseases. Likewise, huge number of researches have been done that discuss automated detection and classification of diabetic retinopathy. This paper reviews the existing methodologies, datasets, sensitivity, specificity and classification accuracy in diabetic retinopathy. © BEIESP.",Accuracy; Artificial intelligence; Autoencoders; CNN; Deep Learning; Diabetes Mellitus; Diabetic Retinopathy; DRIVE; Image Preprocessing; Kaggle; Keras; Machine Learning; Messidor-2; NPDR; PDR; RBM; RNN; Sensitivity; Specificity; TensorFlow; Theano
Conference Paper,"Gothane S., Raju K.S., Bhaskar N., Divya G.",Diabetic Retinopathy Detection Using Deep Learning,Lecture Notes in Networks and Systems,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135076504&doi=10.1007%2f978-981-19-1559-8_39&partnerID=40&md5=26b78a7c647ca7e6d86d319ab5cb37cb,"Diabetes sickness upsurges the quantity of glucose in the blood triggered by a deficiency of insulin. Diabetes affects retina, heart, nerves and kidney. One important complication is Diabetic Retinopathy. The mechanized methods for Diabetic Retinopathy recognition are flexible for cost and time reduction and are more competent over manual analysis. Deep Learning technique performs computer aided medical diagnosis. This paper is an attempt toward finding an automatic solution for Diabetic Retinopathy disease in initial stage. Using Artificial Intelligence and Deep Learning, doctors can find blindness before it happens. In this project we are using supervised learning approach to perform classification on fundus images. For this task we are employing several image processing procedures and filters to improve many significant features like microaneurysm, hemorrhages, exudates, swollen blood vessels which are the features of fundus image that imply that particular person has Diabetic Retinopathy and then using neural networks for classification. This classifies the fundus images with an accuracy of 82% by using ResNet architecture. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Deep learning; Diabetic Retinopathy; ResNet
Article,"Arsalan M., Owais M., Mahmood T., Cho S.W., Park K.R.",Aiding the diagnosis of diabetic and hypertensive retinopathy using artificial intelligence-based semantic segmentation,Journal of Clinical Medicine,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086632926&doi=10.3390%2fjcm8091446&partnerID=40&md5=3d9cc6cb6c379f89afeff63587d7a73f,"Automatic segmentation of retinal images is an important task in computer-assisted medical image analysis for the diagnosis of diseases such as hypertension, diabetic and hypertensive retinopathy, and arteriosclerosis. Among the diseases, diabetic retinopathy, which is the leading cause of vision detachment, can be diagnosed early through the detection of retinal vessels. The manual detection of these retinal vessels is a time-consuming process that can be automated with the help of artificial intelligence with deep learning. The detection of vessels is difficult due to intensity variation and noise from non-ideal imaging. Although there are deep learning approaches for vessel segmentation, these methods require many trainable parameters, which increase the network complexity. To address these issues, this paper presents a dual-residual-stream-based vessel segmentation network (Vess-Net), which is not as deep as conventional semantic segmentation networks, but provides good segmentation with few trainable parameters and layers. The method takes advantage of artificial intelligence for semantic segmentation to aid the diagnosis of retinopathy. To evaluate the proposed Vess-Net method, experiments were conducted with three publicly available datasets for vessel segmentation: digital retinal images for vessel extraction (DRIVE), the Child Heart Health Study in England (CHASE-DB1), and structured analysis of retina (STARE). Experimental results show that Vess-Net achieved superior performance for all datasets with sensitivity (Se), specificity (Sp), area under the curve (AUC), and accuracy (Acc) of 80.22%, 98.1%, 98.2%, and 96.55% for DRVIE; 82.06%, 98.41%, 98.0%, and 97.26% for CHASE-DB1; and 85.26%, 97.91%, 98.83%, and 96.97% for STARE dataset. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.",Diabetic retinopathy; Retinal vessels; Vess-Net; Vessel segmentation
Article,"Tsai C.-Y., Chen C.-T., Chen G.-A., Yeh C.-F., Kuo C.-T., Hsiao Y.-C., Hu H.-Y., Tsai I.-L., Wang C.-H., Chen J.-R., Huang S.-C., Lu T.-C., Woung L.-C.",Necessity of Local Modification for Deep Learning Algorithms to Predict Diabetic Retinopathy,International Journal of Environmental Research and Public Health,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122995569&doi=10.3390%2fijerph19031204&partnerID=40&md5=62747d1014bbd67a9066cb2424560e61,"Deep learning (DL) algorithms are used to diagnose diabetic retinopathy (DR). However, most of these algorithms have been trained using global data or data from patients of a single region. Using different model architectures (e.g., Inception-v3, ResNet101, and DenseNet121), we assessed the necessity of modifying the algorithms for universal society screening. We used the open-source dataset from the Kaggle Diabetic Retinopathy Detection competition to develop a model for the detection of DR severity. We used a local dataset from Taipei City Hospital to verify the necessity of model localization and validated the three aforementioned models with local datasets. The experimental results revealed that Inception-v3 outperformed ResNet101 and DenseNet121 with a foreign global dataset, whereas DenseNet121 outperformed Inception-v3 and ResNet101 with the local dataset. The quadratic weighted kappa score (κ) was used to evaluate the model performance. All models had 5–8% higher κ for the local dataset than for the foreign dataset. Confusion matrix analysis revealed that, compared with the local ophthalmologists’ diagnoses, the severity predicted by the three models was overestimated. Thus, DL algorithms using artificial intelligence based on global data must be locally modified to ensure the applicability of a well-trained model to make diagnoses in clinical environments. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Deep learning algorithms; Diabetic retinopathy; Model localised; Predict; Taiwan
Article,"Nasir N., Afreen N., Patel R., Kaur S., Sameer M.",A Transfer Learning Approach for Diabetic Retinopathy and Diabetic Macular Edema Severity Grading,Revue d'Intelligence Artificielle,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122763647&doi=10.18280%2fria.350608&partnerID=40&md5=e2abecd815032cf464662254c753cbb8,"Diabetic Retinopathy (DR) and Diabetic Macular Edema (DME) are complication that occurs in diabetic patient especially among working age group that leads to vision impairment problem and sometimes even permanent blindness. Early detection is very much needed for diagnosis and to reduce blindness or deterioration. The diagnosis phase of DR consumes more time, effort and cost when manually performed by ophthalmologists and more chances of misdiagnosis still there. Research community is working on to design computer aided diagnosis system for prior detection and for DR grading based on its severity. Ongoing researches in Artificial Intelligence (AI) have set out the advancement of deep learning technique which comes as a best technique to perform analysis and classification of medical images. In this paper, research is applied on Resnet50 model for classification of DR and DME based on its severity grading on public benchmark dataset. Transfer learning approach accomplishes the best outcome on Indian Diabetic Retinopathy Image Dataset (IDRiD). © 2021 Lavoisier. All rights reserved.",Diabetic macular edema; Diabetic retinopathy; ResNet50; Transfer learning
Conference Paper,"Krupalin V.A.H., Sowmya M.L., Kumar M.M.",Intelligent Computing Method for Detecting Diabetic Retinopathy (DBRP),Lecture Notes in Networks and Systems,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127675069&doi=10.1007%2f978-981-16-8987-1_58&partnerID=40&md5=c2b6e8f96ddf87f1d29fe988b4e8f75a,"Diabetes mellitus is a metabolic disease that increases the glucose levels in blood. According to the International Diabetes Federation (IDF), 463 million people worldwide have diabetes (1 in 11 adults (20–79 years)). Diabetic retinopathy is an eye condition that can cause visual loss in individuals who have diabetes. Deep learning is one of the emerging tools in recent years for machine learning problem-solving with artificial intelligence. In this paper, we applied its methods for diagnosis of diabetic retinopathy. We can implement the retinal detection by using convolutional neural networks (CNNs) for the recognition task on color fundus images, various retinal feature extractions and automated analysis. Therefore, an intelligent computing method for detection of DBRP is proposed for diagnosing the diabetic retinopathy based on deep learning algorithms through the classification of retinal fundus. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Convolutional neural network (CNN); Deep learning; Diabetic retinopathy; Feature extraction; Retinal fundus photograph; Siamese network
Conference Paper,"Ghebrechristos H., Alaghband G., Hwang R.Y.",RetiNet - Feature Extractor for Learning Patterns of Diabetic Retinopathy and Age-Related Macular Degeneration from Publicly Available Datasets,"Proceedings - 2017 International Conference on Computational Science and Computational Intelligence, CSCI 2017",2018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060641418&doi=10.1109%2fCSCI.2017.286&partnerID=40&md5=354e7cd8a8c5b04caffa344728a5a645,"Diabetic Retinopathy (DR) and Age-related Macular Degeneration (AMD) are two common vision threatening eye conditions. In a large-scale screening environment DR and AMD can be assessed by detecting specific retinal findings in fundus images. In this paper, we introduce a new deep learning based feature extractor for automatic classification of DR and AMD from fundus images. We used a small dataset containing 60000 images with four severity levels of DR and two classes of AMD to design and fine-tune a deep learning model called RetiNet. This dataset, which consisted of two publicly available datasets (MESSIDOR and Kaggle), was augmented and employed to evaluate RetiNet. RetiNet can achieve diagnosis performance comparable to retina experts on the MESSIDOR dataset with cross-dataset testing (i.e., the feature extractor was trained on an independent dataset and tested on MESSIDOR). Our algorithm obtained an average accuracy of 88% on the validation set. © 2017 IEEE.",Age-related Macular Degeneration (AMD); Artificial Neural Network (ANN); Convolutional Neural Network(CNN); Deep Learning; Diabetic Retinopathy(DR)
Conference Paper,"Vipparthi V., Rao D.R., Mullu S., Patlolla V.",Diabetic Retinopathy Classification using Deep Learning Techniques,"3rd International Conference on Electronics and Sustainable Communication Systems, ICESC 2022 - Proceedings",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139559867&doi=10.1109%2fICESC54411.2022.9885687&partnerID=40&md5=283ac6d13b7feb41c5249c821a2d6aa4,"Diabetic Retinopathy is a disease that damages the eyes and is caused by a consequence of diabetes. If blood sugar levels aren't controlled for an extended period of time, the disease can develop. It is mainly caused due to the damage of blood vessels in the retina. Retinopathy is the main cause of blindness in the world. Doctors can diagnose blindness before it occurs using Artificial Intelligence and Deep Learning. Medical imaging plays a very crucial role in a variety of medical issues and at all major levels of health issues. Medical imaging can be used to identify a variety of common eye illnesses. However, for a variety of reasons, including uneven lighting, picture blurring, and low contrast and brightness, poor-quality retinal images are ineffective for further diagnosis, particularly in automated analyzing systems. Ophthalmologists' manual Diabetic Retinopathy diagnostic procedure is time-consuming, requires more work, costly, and might result in misdiagnosis. Basing on the vision like having trouble in reading distant objects or seeing distant objects, blindness or any other changes may happen in eye retina that affects diabetes. Diabetic retinopathy is one of the most frequent eye illnesses, affecting mostly diabetics. This model can assist the opthmologists for clinical diagnosis and detect and classify the diabetic retinopathy. There are three phases in this diabetic retinopathy detection and classification technique (i) enhancement (ii) Feature Extraction and (iii) Retinopathy Detection and Classification. Feature extraction involves blood vessels extraction and exudates extraction. First two phases assist the opthmologists by providing clear images of the retina and blood vessels and exudates extracted images. In this work, from the presented retinal fundus pictures, the Res-Block model is used to classify and diagnose diabetic retinopathy. © 2022 IEEE.",Artificial Intelligence; Deep Learning; Diabetic Retinopathy; Fundus; Medical Imaging
Conference Paper,"Sriman B., Muangnak N., Sirawattananon C.",Automated Clinical Assessment in Diabetic Retinopathy Retinal Images: A Review,"2022 19th International Joint Conference on Computer Science and Software Engineering, JCSSE 2022",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136226644&doi=10.1109%2fJCSSE54890.2022.9836245&partnerID=40&md5=281ab1047fa5a348382bd8a66e68e472,"There are no early symptoms associated with retinal diseases. Diabetic retinopathy (DR) is the leading cause of macular degeneration in people with diabetes in their 40s and 50s. It is a critical step in determining the stage of an ophthalmology preliminary abnormality diagnosis. DR lesions detected on images taken with the hospital's high-quality imaging equipment can now be screened and identified automatically by an image processing system. It is proposed to screen for early symptoms of DR by detecting abnormalities within retinal images using computer-based imaging. The purpose of this study is to conduct a review of existing works in the fields of artificial intelligence and image processing to develop an algorithm for an automatic DR screening system. A review paper on the use of deep learning with DR detection was introduced, as well as a section experimenting with DR in retinal fundus images from publicly available datasets. To enhance DR detection performance, feature extraction techniques would be suggested. © 2022 IEEE.",deep learning; diabetic retinopathy detection; machine learning; retinal image processing
